start	end	text
230040	232080	是不是有人在他废后说了什么
232080	232800	这说没什么
232800	233840	他确实有什么事情
233840	235160	是他不想让你知道的
235160	236320	我让总理就直接回
236320	236640	没有
236640	237360	我就是在想
237360	238240	我们这是这么久
238240	238960	我对你什么态度
238960	239680	你应该清楚
239680	240680	但是我不太清楚
240680	241680	你对我是什么想法
241680	243160	就是在比他给一个明确答复
243160	244360	你生过了好一会儿才回
244360	245640	我觉得我们现在这样挺好的
245640	246760	干嘛非要定义呢
246760	248080	兄弟们听到这句话
248080	249240	你就应该明白了
249240	250560	什么叫现在这样挺好的
250560	251400	发言过来就是
251400	252680	我可以继续享受你的付出
252680	254040	但是我不想跟你任何程度
254040	254560	我告诉兄弟
254560	256040	我说到这一步答案已经很清楚了
256040	256400	但是呢
256400	257600	为了让他出帝死心
257600	258880	我让他放了最后一个大招
258880	259600	我让兄弟就回
259600	260440	行 那我明白了
260440	261360	我真比较传统
261360	262640	要么就任人真正处对象
262640	263440	要么就各谷各的
263440	264720	安眉不幸的状态我好不起
264720	265720	这段时间谢谢你陪我
265720	267240	以后有什么事需要我帮忙可以找我
267240	268320	但我们还是不要再这样
268320	268640	你看啊
268640	270080	这段话给足了对方的台积
270080	270400	但是呢
270400	271720	同时也要明了自己的底线
271720	272960	你生看到这条消息之后呢
272960	273720	直接一堵不回
273720	274920	从那当时还抱着一次希望
274920	275640	就跟我说陶姐
275640	276440	她不是在考虑的
284560	286040	家序已经炸不出更多的价值了
286040	287240	故书放手去找下一会
287240	288120	我不写然过两天
288120	289120	兄弟发现自己被杀
289120	290680	而且更疯私的是什么
290680	292160	她通过朋友的朋友打听到
292160	293600	这女生同时在标着三四个男
293600	294880	那些高党的餐厅的照片
294880	295960	就是不同的男人带她去的
295960	296920	这兄弟后来就跟我说
296920	297440	但是陶姐
297440	298240	虽然说这个结果
298240	298960	而让我挺难受的
298960	300240	但是我反而觉得轻松了
300240	300760	这什么意义
300760	301880	我可能还会继续投入我
301880	302680	什么三万变五万
302680	303280	五万变十万
303280	304000	最后人才两空
304000	304880	还觉得自己不够好
304880	305400	现在想想
305400	306880	这三万块钱就挡买了个教训了
306880	307640	起码让我点枪了
307640	308720	什么样的女人值得付出
308720	310040	什么样的女人值在利用我
310040	310440	兄弟们
310440	311160	陶姐跟您说一句
311160	311880	逃行过则话
311880	313760	感情里边最怕的不是付出
313760	314560	而是错付
314560	316000	你的真心应该给同样
316000	316680	真心对你的人
316680	318080	而不是给一个指挥杀干你的人
318080	319120	你记住陶姐这句话
319120	319760	是她一个女人
319760	320400	有没有在骗你
320400	321240	最简单的方法
321240	322360	就是认真的问她一次
322360	323280	要是谈谈到闹
323280	324000	是你聚系的
324000	324800	解释给你拼
324800	325800	那是真的没问题
325800	326640	要是满修朋友
327640	328880	或者互走又而言她
328880	329880	就是不正面回答
329880	331000	那你也不用在那第二次了
331000	331800	答案已经很清楚了
331800	333080	该放手的时候就放手
333080	334000	别怕沉默成本
334000	335200	因为你继续投入下去
335200	336280	沉默的这位更多
336280	337320	即使只算不丢人
337320	338880	丢人的是被人当傻才不自知
338880	339320	不是陶姐
339320	340520	放修你们擦亮眼睛
340520	341160	稍走完
341160	342280	找出找到那个对的人
